Wall,0,0
,Player position,
Player,50,820
,Door position
Door,850,329

Platform,0,120
Platform,100,120
Platform,200,120
Platform,500,120
Platform,550,120
Platform,650,120

Platform,850,10
Platform,950,10

Platform,1620,120
Platform,1720,120
Platform,1820,120

Platform,1320,120
Platform,1220,120
Platform,1120,120


Ladder,1420,550
Ladder,1420,450
Ladder,1420,350
Ladder,1420,250

Ladder,300,550
Ladder,300,450
Ladder,300,350
Ladder,300,250

Ladder,650,250
Ladder,650,205
Ladder,1050,250
Ladder,1050,205

SmallWindow,20,500
SmallWindow,140,500
SmallWindow,570,500
SmallWindow,690,500
SmallWindow,570,375
SmallWindow,690,375

SmallWindow,1100,500
SmallWindow,1220,500
SmallWindow,1100,375
SmallWindow,1220,375

SmallWindow,20,150
SmallWindow,140,150


SmallWindow,20,375
SmallWindow,140,375

SmallWindow,1670,500
SmallWindow,1790,500

SmallWindow,1670,150
SmallWindow,1790,150

SmallWindow,1670,375
SmallWindow,1790,375

SmallWindow,850,75
SmallWindow,950,75




